Algorithm,Lambda,CloudletId,Length,VmId,SubmissionTime,StartTime,FinishTime,ExecutionTime,WaitingTime
FCFS,20.0000,8,1098,8,0.3991,0.4991,1.5971,1.0980,0.1000
FCFS,20.0000,3,1542,3,0.1572,0.2572,1.8171,1.5599,0.1000
FCFS,20.0000,9,1892,9,0.4754,0.5754,2.5190,1.9436,0.1000
FCFS,20.0000,11,2257,11,0.6300,0.7300,3.2760,2.5460,0.1000
FCFS,20.0000,35,1212,15,1.8967,1.9967,3.6148,1.6181,0.1000
FCFS,20.0000,5,3076,5,0.3288,0.4288,4.6756,4.2468,0.1000
FCFS,20.0000,17,2813,17,0.8778,0.9778,4.6756,3.6978,0.1000
FCFS,20.0000,6,3119,6,0.3518,0.4518,4.7856,4.3338,0.1000
FCFS,20.0000,0,3431,0,0.0650,0.1650,5.2469,5.0819,0.1000
FCFS,20.0000,52,1325,12,2.5669,2.6669,5.2469,2.5800,0.1000
FCFS,20.0000,15,3361,15,0.7786,0.8786,5.2469,4.3683,0.1000
FCFS,20.0000,32,2245,12,1.7372,1.8372,5.4669,3.6297,0.1000
FCFS,20.0000,71,1192,11,3.4111,3.5111,5.5769,2.0659,0.1000
FCFS,20.0000,61,1182,1,3.0868,3.1868,6.2720,3.0852,0.1000
FCFS,20.0000,74,1344,14,3.4992,3.5992,7.0144,3.4152,0.1000
FCFS,20.0000,30,2872,10,1.5703,1.6703,7.1244,5.4541,0.1000
FCFS,20.0000,29,3665,9,1.5376,1.6376,7.5424,5.9048,0.1000
FCFS,20.0000,48,2902,8,2.3960,2.4960,7.7624,5.2664,0.1000
FCFS,20.0000,2,4213,2,0.1410,0.2410,7.8684,7.6274,0.1000
FCFS,20.0000,45,2597,5,2.2748,2.3748,8.4790,6.1042,0.1000
FCFS,20.0000,57,2488,17,2.8361,2.9361,8.4790,5.5429,0.1000
FCFS,20.0000,4,4369,4,0.2119,0.3119,8.6990,8.3871,0.1000
FCFS,20.0000,33,3156,13,1.8231,1.9231,8.9150,6.9919,0.1000
FCFS,20.0000,86,1588,6,4.3692,4.4692,9.1300,4.6608,0.1000
FCFS,20.0000,84,1468,4,4.2381,4.3381,9.3483,5.0102,0.1000
