Algorithm,Lambda,CloudletId,Length,VmId,SubmissionTime,StartTime,FinishTime,ExecutionTime,WaitingTime
Min-Min,20.0000,8,1098,8,0.3991,0.4991,1.5971,1.0980,0.1000
Min-Min,20.0000,3,1542,3,0.1572,0.2572,1.8171,1.5599,0.1000
Min-Min,20.0000,9,1892,9,0.4754,0.5754,2.9070,2.3316,0.1000
Min-Min,20.0000,5,3076,5,0.3288,0.4288,4.2830,3.8542,0.1000
Min-Min,20.0000,17,2813,14,0.8778,0.9778,4.3930,3.4152,0.1000
Min-Min,20.0000,6,3119,6,0.3518,0.4518,4.3930,3.9412,0.1000
Min-Min,20.0000,11,2257,11,0.6300,0.7300,4.7230,3.9930,0.1000
Min-Min,20.0000,0,3431,0,0.0650,0.1650,4.8330,4.6680,0.1000
Min-Min,20.0000,52,1325,8,2.5669,2.6669,5.1630,2.4961,0.1000
Min-Min,20.0000,35,1212,11,1.8967,1.9967,5.3830,3.3863,0.1000
Min-Min,20.0000,61,1182,12,3.0868,3.1868,6.2737,3.0870,0.1000
Min-Min,20.0000,15,3361,12,0.7786,0.8786,6.3837,5.5051,0.1000
Min-Min,20.0000,32,2245,9,1.7372,1.8372,6.6037,4.7665,0.1000
Min-Min,20.0000,30,2872,7,1.5703,1.6703,6.9337,5.2634,0.1000
Min-Min,20.0000,21,3913,18,1.0434,1.1434,6.9337,5.7903,0.1000
Min-Min,20.0000,71,1192,11,3.4111,3.5111,7.6834,4.1724,0.1000
Min-Min,20.0000,4,4369,4,0.2119,0.3119,7.6834,7.3715,0.1000
Min-Min,20.0000,74,1344,2,3.4992,3.5992,8.1151,4.5159,0.1000
Min-Min,20.0000,7,4559,7,0.3679,0.4679,8.3351,7.8671,0.1000
Min-Min,20.0000,26,4213,3,1.2655,1.3655,8.4451,7.0796,0.1000
Min-Min,20.0000,2,4213,2,0.1410,0.2410,8.5551,8.3141,0.1000
Min-Min,20.0000,29,3665,6,1.5376,1.6376,8.5551,6.9175,0.1000
Min-Min,20.0000,33,3156,10,1.8231,1.9231,8.6651,6.7420,0.1000
Min-Min,20.0000,57,2488,13,2.8361,2.9361,9.0171,6.0810,0.1000
Min-Min,20.0000,45,2597,1,2.2748,2.3748,9.1271,6.7522,0.1000
Min-Min,20.0000,84,1468,15,4.2381,4.3381,9.3471,5.0090,0.1000
Min-Min,20.0000,86,1588,17,4.3692,4.4692,10.1614,5.6922,0.1000
Min-Min,20.0000,48,2902,4,2.3960,2.4960,10.3814,7.8854,0.1000
Min-Min,20.0000,99,1743,9,4.7073,4.8073,11.5420,6.7347,0.1000
Min-Min,20.0000,59,2865,15,2.9074,3.0074,12.3078,9.3004,0.1000
Min-Min,20.0000,92,2485,3,4.4942,4.5942,12.5259,7.9317,0.1000
Min-Min,20.0000,130,1283,19,6.5201,6.6201,12.6359,6.0158,0.1000
Min-Min,20.0000,72,3222,6,3.4129,3.5129,12.8559,9.3430,0.1000
Min-Min,20.0000,98,2010,9,4.6676,4.7676,12.8559,8.0884,0.1000
Min-Min,20.0000,157,1010,5,7.8825,7.9825,13.0759,5.0934,0.1000
Min-Min,20.0000,117,1938,7,5.8304,5.9304,13.5444,7.6140,0.1000
Min-Min,20.0000,134,1939,3,6.7660,6.8660,15.1220,8.2560,0.1000
Min-Min,20.0000,179,1183,7,8.9514,9.0514,15.1220,6.0706,0.1000
Min-Min,20.0000,170,1402,18,8.4540,8.5540,15.2320,6.6780,0.1000
Min-Min,20.0000,47,4710,3,2.2956,2.3956,15.4520,13.0564,0.1000
Min-Min,20.0000,16,5872,13,0.7904,0.8904,15.8637,14.9733,0.1000
Min-Min,20.0000,70,3437,5,3.4097,3.5097,15.9737,12.4640,0.1000
Min-Min,20.0000,166,1602,14,8.2565,8.3565,16.4278,8.0713,0.1000
Min-Min,20.0000,144,1777,13,7.5732,7.6732,16.5378,8.8646,0.1000
Min-Min,20.0000,116,2732,6,5.7407,5.8407,16.7578,10.9171,0.1000
Min-Min,20.0000,20,5527,17,1.0011,1.1011,16.8678,15.7667,0.1000
Min-Min,20.0000,46,3778,2,2.2857,2.3857,17.4350,15.0493,0.1000
Min-Min,20.0000,103,2846,13,5.0337,5.1337,17.5450,12.4113,0.1000
Min-Min,20.0000,85,2937,17,4.2544,4.3544,18.4418,14.0874,0.1000
Min-Min,20.0000,44,4546,0,2.2584,2.3584,19.8525,17.4941,0.1000
Min-Min,20.0000,25,5072,2,1.1803,1.2803,20.0593,18.7789,0.1000
Min-Min,20.0000,235,1390,3,11.5625,11.6625,20.2793,8.6167,0.1000
Min-Min,20.0000,193,1511,15,9.7519,9.8519,20.4993,10.6474,0.1000
Min-Min,20.0000,167,1842,15,8.2990,8.3990,20.6093,12.2102,0.1000
Min-Min,20.0000,114,2981,4,5.5996,5.6996,20.8249,15.1253,0.1000
Min-Min,20.0000,127,2516,17,6.3357,6.4357,21.4104,14.9747,0.1000
Min-Min,20.0000,223,1527,9,11.2035,11.3035,21.6285,10.3250,0.1000
Min-Min,20.0000,124,3004,14,6.2322,6.3322,21.7329,15.4007,0.1000
Min-Min,20.0000,199,1662,5,10.3258,10.4258,22.5729,12.1470,0.1000
Min-Min,20.0000,148,2277,17,7.6752,7.7752,22.6829,14.9077,0.1000
